trait,category,creator_base,creator_min,creator_max,critic_base,critic_min,critic_max,researcher_base,researcher_min,researcher_max,scribe_base,scribe_min,scribe_max,description,what_it_controls,Active
logic,analytical,0.50,0.35,0.65,0.85,0.80,0.92,0.75,0.65,0.80,0.00,0.00,0.00,structured reasoning ability,how consistently the role grounds its output in coherent inferential chains,1
clarity,analytical,0.55,0.40,0.70,0.80,0.75,0.88,0.80,0.80,0.80,0.90,0.90,0.90,ability to make ideas understandable,how accessible and unambiguous the role makes its output for downstream readers,1
objectivity,analytical,0.50,0.35,0.65,0.85,0.80,0.92,0.85,0.85,0.85,0.95,0.95,0.95,detachment from bias,how effectively the role separates evaluation from advocacy or preference,1
discipline,analytical,0.45,0.30,0.60,0.80,0.75,0.88,0.70,0.65,0.75,0.00,0.00,0.00,methodical thinking,how consistently the role follows structured process rather than intuitive leaps,1
focus,analytical,0.40,0.30,0.55,0.80,0.75,0.88,0.75,0.70,0.80,0.85,0.85,0.85,ability to stay on task,how tightly the role constrains its output to what was asked of it,1
consistency,analytical,0.45,0.30,0.60,0.80,0.75,0.88,0.80,0.80,0.80,1.00,1.00,1.00,reliable reasoning patterns,how uniformly the role applies the same standards across all cases in a session,1
verification,analytical,0.35,0.25,0.50,0.85,0.80,0.92,0.90,0.90,0.90,0.00,0.00,0.00,checking validity of claims,how thoroughly the role confirms that cited facts and sources are real and accurate,1

# ── INTEGRATIVE ───────────────────────────────────────────────────────────────
synthesis,integrative,0.60,0.45,0.75,0.75,0.65,0.85,0.60,0.50,0.70,0.70,0.70,0.70,combining ideas into coherent insight,how effectively the role distills multiple inputs into a unified coherent output,1
pattern_recognition,integrative,0.65,0.50,0.80,0.70,0.60,0.82,0.65,0.50,0.85,0.00,0.00,0.00,detecting relationships across ideas,how readily the role identifies structural similarities and hidden connections,1
systems_thinking,integrative,0.55,0.40,0.70,0.75,0.65,0.85,0.65,0.50,0.80,0.00,0.00,0.00,understanding complex interactions,how deeply the role maps interdependencies between components of the problem,1
abstraction,integrative,0.60,0.45,0.75,0.70,0.60,0.82,0.55,0.45,0.75,0.00,0.00,0.00,seeing general principles,how far the role reaches toward universal patterns rather than staying case-specific,1
reframing,integrative,0.75,0.60,0.88,0.60,0.48,0.72,0.00,0.00,0.00,0.00,0.00,0.00,redefining the problem creatively,how readily the role reconceives the challenge from a different vantage point,1
structuring,integrative,0.55,0.40,0.70,0.75,0.65,0.85,0.65,0.60,0.75,0.90,0.90,0.90,organizing complex information,how consistently the role imposes useful order on complex or ambiguous material,1
prioritization,integrative,0.45,0.30,0.60,0.80,0.70,0.88,0.70,0.60,0.75,0.75,0.75,0.75,determining importance,how effectively the role distinguishes what matters most from supporting detail,1
integration,integrative,0.60,0.45,0.75,0.75,0.65,0.85,0.60,0.50,0.70,0.70,0.70,0.70,combining perspectives,how fluidly the role weaves together inputs from different roles and sources,1

# ── DISCOVERY ─────────────────────────────────────────────────────────────────
empathic_observation,discovery,0.65,0.50,0.80,0.60,0.48,0.72,0.55,0.45,0.65,0.00,0.00,0.00,ability to observe people deeply,how sensitively the role attends to the human dimension of the problem,1
context_awareness,discovery,0.60,0.45,0.75,0.70,0.58,0.82,0.65,0.55,0.75,0.00,0.00,0.00,understanding environmental context,how thoroughly the role accounts for the setting and conditions surrounding the problem,1
beginner_mind,discovery,0.75,0.58,0.88,0.50,0.38,0.65,0.55,0.40,0.70,0.00,0.00,0.00,approaching problems without assumptions,how effectively the role suspends prior knowledge to see the problem freshly,1
perspective_shifting,discovery,0.70,0.55,0.85,0.55,0.42,0.68,0.55,0.45,0.65,0.00,0.00,0.00,seeing through different viewpoints,how readily the role considers the problem from multiple stakeholder positions,1
insight_seeking,discovery,0.70,0.55,0.85,0.65,0.52,0.78,0.70,0.55,0.85,0.00,0.00,0.00,searching for meaningful observations,how aggressively the role pursues the non-obvious finding beneath the surface,1
story_sensitivity,discovery,0.65,0.50,0.80,0.55,0.42,0.68,0.55,0.45,0.65,0.00,0.00,0.00,recognizing narrative meaning,how attuned the role is to the human story embedded in the problem and its context,1

# ── EXPLORATION ───────────────────────────────────────────────────────────────
tolerance_for_ambiguity,exploration,0.75,0.58,0.88,0.50,0.38,0.65,0.50,0.40,0.60,0.00,0.00,0.00,comfort with uncertain problems,how well the role functions productively when the problem is incompletely defined,1
open_mindedness,exploration,0.70,0.55,0.85,0.55,0.42,0.68,0.55,0.45,0.65,0.00,0.00,0.00,willingness to consider new ideas,how receptively the role engages with unexpected or counterintuitive directions,1
experimentalism,exploration,0.75,0.58,0.88,0.45,0.32,0.60,0.00,0.00,0.00,0.00,0.00,0.00,testing ideas through iteration,how readily the role proposes trial approaches rather than seeking perfect solutions,1
risk_taking,exploration,0.70,0.52,0.85,0.40,0.28,0.55,0.00,0.00,0.00,0.00,0.00,0.00,accepting uncertainty in ideas,how comfortable the role is proposing directions that carry real failure risk,1
adaptability,exploration,0.65,0.50,0.80,0.60,0.48,0.72,0.60,0.50,0.70,0.00,0.00,0.00,ability to shift approaches,how fluidly the role adjusts when new information invalidates a prior direction,1
improvisation,exploration,0.70,0.52,0.85,0.40,0.28,0.55,0.00,0.00,0.00,0.00,0.00,0.00,spontaneous problem solving,how effectively the role generates useful output without prior framing or structure,1

# ── COLLABORATION ─────────────────────────────────────────────────────────────
collaboration,collaboration,0.65,0.50,0.80,0.65,0.52,0.78,0.60,0.55,0.70,0.65,0.65,0.65,working effectively with others,how well the role builds on and responds to the contributions of other roles,1
listening,collaboration,0.60,0.45,0.75,0.70,0.58,0.82,0.65,0.60,0.70,0.75,0.75,0.75,attentive understanding,how carefully the role reads and incorporates what other roles have produced,1
respectful_challenge,collaboration,0.60,0.45,0.75,0.75,0.65,0.85,0.50,0.45,0.60,0.00,0.00,0.00,challenging ideas constructively,how effectively the role pushes back without dismissing or undermining prior work,1
constructive_feedback,collaboration,0.60,0.45,0.75,0.80,0.70,0.88,0.50,0.45,0.60,0.00,0.00,0.00,improving ideas through critique,how actionably the role identifies weaknesses and paths to strengthen them,1
intellectual_generosity,collaboration,0.65,0.50,0.80,0.60,0.48,0.72,0.60,0.55,0.70,0.00,0.00,0.00,sharing ideas openly,how freely the role contributes knowledge without competitive or territorial behavior,1
co_creation,collaboration,0.70,0.55,0.85,0.65,0.52,0.78,0.55,0.50,0.65,0.00,0.00,0.00,building ideas jointly,how effectively the role develops output that advances the work of the full team,1

# ── EXECUTION ─────────────────────────────────────────────────────────────────
decisiveness,execution,0.50,0.35,0.65,0.70,0.60,0.82,0.65,0.60,0.75,0.00,0.00,0.00,ability to reach conclusions,how readily the role commits to a direction rather than hedging or deferring,1
initiative,execution,0.65,0.50,0.80,0.60,0.48,0.72,0.55,0.50,0.65,0.00,0.00,0.00,starting actions independently,how proactively the role identifies and acts on needs without explicit direction,1
persistence,execution,0.60,0.45,0.75,0.65,0.52,0.78,0.65,0.60,0.70,0.80,0.80,0.80,continuing through difficulty,how reliably the role completes its task when the problem is complex or resistant,1
pragmatism,execution,0.45,0.30,0.65,0.75,0.65,0.85,0.70,0.65,0.80,0.00,0.00,0.00,focusing on workable solutions,how consistently the role grounds its output in what is actually implementable,1
efficiency,execution,0.40,0.28,0.58,0.75,0.65,0.85,0.70,0.65,0.75,0.80,0.80,0.80,working with minimal waste,how economically the role uses tokens and reasoning to reach its output,1
follow_through,execution,0.50,0.35,0.65,0.80,0.72,0.90,0.85,0.85,0.85,1.00,1.00,1.00,ensuring completion,how reliably the role addresses every required output element before concluding,1

# ── DOCUMENTATION (Scribe only) ───────────────────────────────────────────────
compression,documentation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.85,0.85,condensing without losing meaning,how effectively the Scribe reduces session content to essential signal for downstream use,1
fidelity,documentation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,accuracy of record to source,how faithfully the Scribe captures what was actually produced versus what was intended,1
pre_processing,documentation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.80,0.80,preparing data for visualization,how usefully the Scribe structures session output as input for the Phase 3 renderer,1
stage_coverage,documentation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,recording every stage without omission,how completely the Scribe logs all stages including partial outputs and transitions,1
neutrality,documentation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,absence of editorial interpretation,how consistently the Scribe records without adding judgment or framing to the record,1
